ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL144787;CS(=O)(=O)Nc1cc2c(cc1SC1CCCCC1)C(=O)CC2;;50.0;;50.0
CHEMBL144806;CCCCCSc1ccccc1OC(C)=O;;5000.0;;5000.0
CHEMBL144819;CS(=O)(=O)Nc1cc2c(cc1Sc1ccccc1F)C(=O)CC2;;100.0;;100.0
CHEMBL144884;Cc1ccc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)cc1;;50.0;;50.0
CHEMBL144913;CSc1ccccc1OC(=O)C(F)(F)F;;260000.0;;260000.0
CHEMBL144920;CCCC#CCSc1ccccc1OC(C)=O;;3000.0;;3000.0
CHEMBL145;O=C(O)/C=C/c1ccc(O)c(O)c1;;129700.0;;129700.0
CHEMBL145029;CC(=O)Oc1ccccc1SCCc1ccccc1;;100000.0;;100000.0
CHEMBL145071;CC(=O)Oc1ccccc1SCCCCCC(=O)O;;50000.0;;50000.0
CHEMBL145180;CC(=O)Oc1ccccc1SCCCCCCI;;10000.0;;10000.0
CHEMBL145220;CC(=O)Oc1ccccc1SCc1ccccc1;;250000.0;;250000.0
CHEMBL145247;CCCCOCCSc1ccccc1OC(C)=O;;7000.0;;7000.0
CHEMBL145364;CSc1ccccc1OC(C)=O;;250000.0;;250000.0
CHEMBL145412;CCCC#CCCSc1ccccc1OC(C)=O;;6500.0;;6500.0
CHEMBL145710;CSc1ccc(Oc2cc3c(cc2NS(C)(=O)=O)CCC3=O)cc1;;100.0;;100.0
CHEMBL145727;CCC#CCSc1ccccc1OC(C)=O;;5000.0;;5000.0
CHEMBL146005;CC(=O)OCCCCCSc1ccccc1OC(C)=O;;50000.0;;50000.0
CHEMBL146247;CCOc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1;;901.0;;901.0
CHEMBL146441;CSc1ccccc1OC(=O)CBr;;510000.0;;510000.0
CHEMBL146465;CC(=O)NCc1cc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)ccc1S(N)(=O)=O;;5000.0;;5000.0
CHEMBL146703;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCC(=O)O)c1Cl;;300.0;;300.0
CHEMBL146742;CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)nc3sccn23)cc1;;16.0;;16.0
