ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A67C77N247,Cc1ccc(/C=C2\N=C(CN(C)C)N(CC(N)=O)C2=O)cc1C,183.72561,79.0,5,0.9319400000000001,314.38900000000007,1,4,90.78940000000003,23,23,2,17,6
A67C77N282,Cc1ccc(/C=C2\N=C(CN(C)C)N(CC(O)CO)C2=O)cc1C,190.27466999999996,76.37,6,0.7998399999999999,331.41600000000005,2,5,94.68760000000003,24,24,2,18,6
A67C77N660,Cc1ccc(/C=C2\N=C(CN(C)C)N(CC3CCOC3)C2=O)cc1C,187.49583,45.14,5,2.4831400000000006,341.4550000000001,0,4,100.52100000000006,25,25,3,20,5
A67C77N101,Cc1ccc(/C=C2\N=C(CN(C)C)N(CCO)C2=O)cc1C,160.97400999999996,56.14,5,1.4389399999999999,301.39000000000004,1,4,88.68080000000005,22,22,2,17,5
A67C77N261,Cc1ccc(/C=C2\N=C(CN(C)C)N(c3ccc(C)c(O)c3)C2=O)cc1C,189.52666999999997,56.14,4,3.6652600000000026,363.4610000000001,1,4,110.21180000000005,27,27,3,22,5
A67C77N313,Cc1ccc(/C=C2\N=C(CN(C)C)N(c3ccc(CC#N)cc3)C2=O)cc1C,193.67172999999997,59.699999999999996,5,3.7173200000000026,372.4720000000001,0,4,113.12700000000004,28,28,3,23,5
A67C77N277,Cc1ccc(/C=C2\N=C(CN(C)C)N(c3ccc(Cl)nn3)C2=O)cc1C,192.46837,61.690000000000005,4,3.094640000000002,369.8560000000001,0,5,104.41000000000004,26,26,3,19,7
A67C77N320,Cc1ccc(/C=C2\N=C(CN(C)C)N(c3cccc(CO)c3)C2=O)cc1C,199.37906999999996,56.14,5,3.1435400000000016,363.4610000000001,1,4,109.73280000000005,27,27,3,22,5
A67C77N79,Cc1ccc(/C=C2\N=C(CN(C)C)N(c3nncs3)C2=O)cc1C,179.39700999999997,89.93,4,2.502740000000001,341.4400000000001,0,6,97.27700000000004,24,24,3,17,7
A67C362N247,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(C(=O)CN)C2=O)cc1C,188.46156,75.75999999999999,3,2.696840000000001,369.37100000000015,1,4,97.69540000000002,27,27,3,20,7
A67C362N247,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CC(N)=O)C2=O)cc1C,188.46156,75.75999999999999,4,2.696840000000001,369.37100000000015,1,3,97.69540000000002,27,27,3,20,7
